Time (s),x,y,z,,timestamps
0.525109456,4.730942726,3.354276657,9.057564735,525.109456,525109.456
0.527109489,4.556165695,3.658340216,8.583512306,527.109489,527109.489
0.529109522,4.357447147,4.012681961,8.0232687,529.109522,529109.522
0.531111422,4.357447147,4.012681961,8.0232687,531.111422,531111.422
0.533112288,4.323928356,4.165910721,7.723993778,533.112288,533112.288
0.535113154,4.390965939,4.278438568,7.448660851,535.113154,535113.154
0.53711402,4.453215122,4.321534157,7.321768284,537.11402,537114.02
0.539113686,4.644751072,4.431667328,7.12065506,539.113686,539113.686
0.541113686,4.857835293,4.5394063,6.897994518,541.113686,541113.686
0.543113686,4.963479519,4.604049683,6.778284073,543.113686,543113.686
0.545113686,5.157409668,4.750096321,6.555623531,545.113686,545113.686
0.547113652,5.320215225,4.915595531,6.263530731,547.113652,547113.652
0.549113618,5.399224281,4.987421513,6.069600582,549.113618,549113.618
0.551112718,5.502174854,5.064035892,5.641038418,551.112718,551112.718
0.553112784,5.504569054,5.087977886,5.281908035,553.112784,553112.784
0.55511275,5.454290867,5.066430092,5.116708279,555.11275,555112.75
0.557112716,5.327397823,4.977844715,4.814739704,557.112716,557112.716
0.559112682,5.207687855,4.802768707,4.546588898,559.112682,559112.682
0.561112648,5.166986465,4.680664539,4.412513733,561.112648,561112.648
0.563112648,5.181351662,4.402936935,4.096478939,563.112648,563112.648
0.565112514,5.293879032,4.098873138,3.775655985,565.112514,565112.514
0.567112547,5.344157696,3.948038578,3.646369219,567.112547,567112.547
0.56911258,5.425560474,3.632004023,3.526659012,569.11258,569112.58
0.57111348,5.456685066,3.361459255,3.593696833,571.11348,571113.48
0.57311438,5.411195278,3.239354849,3.699041605,573.11438,573114.38
0.57511528,5.368099689,2.987963676,4.05577755,575.11528,575115.28
0.577116146,5.281908035,2.719813108,4.558559895,577.116146,577116.146
0.579116146,5.157409668,2.437297344,5.193322659,579.116146,579116.146
0.581116012,5.107131481,2.30801034,5.514145851,581.116012,581116.012
0.583115978,5.032911301,2.006340981,6.112696171,583.115978,583115.978
0.585115944,4.965873718,1.70946002,6.701669693,585.115944,585115.944
0.58711591,4.932354927,1.553836942,6.9674263,587.11591,587115.91
0.589115876,4.879383087,1.273715258,7.395988464,589.115876,589115.876
0.591113976,4.843470097,0.998382092,7.721599579,591.113976,591113.976
0.593113109,4.8291049,0.883460403,7.85567522,593.113109,593113.109
0.595113375,4.826710701,0.646434486,8.025663376,595.113375,595113.375
0.597113508,4.778826714,0.404620081,8.116642952,597.113508,597113.508
0.599113541,4.733336926,0.272938997,8.183680534,599.113541,599113.541
0.601113574,4.584896088,0.009576807,8.293813705,601.113574,601113.574
0.603113607,4.42209053,-0.201112941,8.236352921,603.113607,603113.607
0.60511364,4.321534157,-0.289698392,8.226776123,605.11364,605113.64
0.607113673,4.065354347,-0.469263524,8.229170799,607.113673,607113.673
0.609113706,3.703830004,-0.699106872,8.116642952,609.113706,609113.706
0.611114572,3.406949043,-0.869095206,7.968202591,611.114572,611114.572
0.613114572,2.576161146,-1.252167463,7.419930458,613.114572,613114.572
